LastPurchaseDate,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
2011-01-18 10:01:00,1,77183.6,325,1,1,5,115,Regular,3
2011-12-07 15:52:00,7,4310.0,1,5,5,5,555,Champions,0
2011-09-25 13:13:00,4,1797.24,74,2,4,4,244,Loyal Customers,0
2011-11-21 09:51:00,1,1757.55,18,4,1,4,414,At Risk,0
2011-02-02 16:01:00,1,334.4,309,1,1,2,112,Regular,1
2011-11-03 14:37:00,8,2506.04,35,3,5,5,355,Loyal Customers,0
2011-05-19 17:47:00,1,89.0,203,1,1,1,111,Regular,1
2011-04-21 13:11:00,1,1079.4,231,1,1,4,114,Regular,1
2011-05-09 13:49:00,1,459.4,213,1,1,2,112,Regular,1
2011-11-17 08:40:00,3,2811.43,22,4,3,5,435,Loyal Customers,0
2011-11-06 16:07:00,1,6207.67,32,4,1,5,415,At Risk,0
2011-12-08 10:26:00,2,1168.06,1,5,2,4,524,At Risk,0
2011-10-13 12:47:00,4,6310.03,57,3,4,5,345,Loyal Customers,0
2011-10-18 15:22:00,3,2662.06,51,3,3,5,335,Loyal Customers,0
2011-02-25 13:51:00,1,189.9,286,1,1,1,111,Regular,1
2011-12-06 15:40:00,10,5226.23,2,5,5,5,555,Champions,0
2011-08-22 10:18:00,2,552.0,109,2,2,3,223,At Risk,0
2011-12-02 10:22:00,4,1313.1,7,5,4,4,544,Champions,0
2011-02-21 14:04:00,2,641.38,290,1,2,3,123,Regular,1
2011-12-05 16:48:00,1,168.9,3,5,1,1,511,At Risk,0
2011-10-19 14:51:00,4,3541.94,50,3,4,5,345,Loyal Customers,0
2011-10-26 10:16:00,2,1887.96,44,3,2,4,324,At Risk,0
2011-09-29 12:12:00,3,1298.04,71,3,3,4,334,Loyal Customers,0
2011-02-01 13:10:00,1,364.6,310,1,1,2,112,Regular,1
2011-11-14 15:37:00,1,742.9300000000001,24,4,1,3,413,At Risk,0
2011-11-29 10:36:00,2,457.5,10,5,2,2,522,At Risk,0
2011-01-28 15:45:00,2,1628.12,314,1,2,4,124,Regular,1
2011-08-02 10:34:00,1,4008.62,129,2,1,5,215,At Risk,0
2011-09-19 10:09:00,2,852.24,81,2,2,3,223,At Risk,0
2011-11-18 11:27:00,4,2724.81,21,4,4,5,445,Loyal Customers,0
2011-12-05 12:44:00,5,1845.31,4,5,4,4,544,Champions,0
2011-06-08 08:02:00,5,1850.56,184,1,4,4,144,Loyal Customers,1
2011-11-11 08:39:00,2,585.27,28,4,2,3,423,At Risk,0
